ID,Name,SamplingDay,SamplingDay2,Date,SampleType,SampleType2
TR07_B01,TR07_B01,1,TR07,8/25/21,Bloom,Bloom01
TR08_B01,TR08_B01,2,TR08,8/26/21,Bloom,Bloom01
TR09_B01,TR09_B01,3,TR09,8/27/21,Bloom,Bloom01
TR10_B01,TR09_B01,4,TR10,8/28/21,Bloom,Bloom01
TR08_B05,TR08_B05,2,TR08,8/26/21,Bloom,Bloom05
TR09_B05,TR09_B05,3,TR09,8/27/21,Bloom,Bloom05
TR10_B05,TR10_B05,4,TR10,8/28/21,Bloom,Bloom05
TR11_B05,TR11_B05,5,TR11,8/29/21,Bloom,Bloom05
TR12_B05,TR12_B05,6,TR12,8/30/21,Bloom,Bloom05
TR13_B05,TR13_B05,7,TR13,8/31/21,Bloom,Bloom05
TR14_B05,TR14_B05,8,TR14,9/1/21,Bloom,Bloom05
TR15_B05,TR15_B05,9,TR15,9/10/21,Bloom,Bloom05
TR16_B05,TR16_B05,10,TR16,10/20/21,Bloom,Bloom05
TR17_B05_MW,TR17_B05,11,TR17,10/21/21,Bloom,Bloom05
TR12_M01,TR12_M01,6,TR12,8/30/21,Mat,Mat
TR13_M01,TR13_M01,7,TR13,8/31/21,Mat,Mat
TR14_M01,TR14_M01,8,TR14,9/1/21,Mat,Mat
TR16_M01,TR16_M01,10,TR16,10/20/21,Mat,Mat
TR17_M01,TR17_M01,11,TR17,10/21/21,Mat,Mat
TR17_M01_DG,TR17_M01_DG,11,TR17,10/21/21,Mat,Mat
TR17_M01_LG,TR17_M01_LG,11,TR17,10/21/21,Mat,Mat
TR06_PB,TR06_PB,0,TR06,8/24/21,Water,PreBloom
TR12_W_P,TR12_B05_WB,6,TR12,8/30/21,Web,Web
TR13_W_P,TR13_B05_WB,7,TR13,8/31/21,Web,Web
White,TR16_SM,10,TR16,10/20/21,White_biofilm,White_biofilm
TR07_B01_sup,TR07_B01_sup,1,TR07,8/25/21,Supernatant,Bloom01_Sup
TR08_B01_sup,TR08_B01_sup,2,TR08,8/26/21,Supernatant,Bloom01_Sup
TR09_B01_sup,TR09_B01_sup,3,TR09,8/27/21,Supernatant,Bloom01_Sup
TR10_B01_sup,TR10_B01_sup,4,TR10,8/28/21,Supernatant,Bloom01_Sup
TR08_B05_sup,TR08_B05_sup,2,TR08,8/26/21,Supernatant,Bloom05_Sup
TR09_B05_sup,TR09_B05_sup,3,TR09,8/27/21,Supernatant,Bloom05_Sup
TR10_B05_sup,TR10_B05_sup,4,TR10,8/28/21,Supernatant,Bloom05_Sup
TR11_B05_sup,TR11_B05_sup,5,TR11,8/29/21,Supernatant,Bloom05_Sup
TR13_B05_sup,TR13_B05_sup,7,TR13,8/31/21,Supernatant,Bloom05_Sup
TR14_B05_sup,TR14_B05_sup,8,TR14,9/1/21,Supernatant,Bloom05_Sup
TR16_B05_sup,TR16_B05_sup,10,TR16,10/20/21,Supernatant,Bloom05_Sup
TR17_B05_sup,TR17_B05_sup,11,TR17,10/21/21,Supernatant,Bloom05_Sup
