Domain,Phylum,Class,Order,Family,Genus,MergedBinID,Accession,TR07_B01,TR08_B01,TR09_B01,TR10_B01,TR08_B05,TR09_B05,TR10_B05,TR11_B05,TR12_B05,TR13_B05,TR14_B05,TR15_B05,TR16_B05,TR17_B05_MW,TR12_M01,TR13_M01,TR14_M01,TR16_M01,TR17_M01,TR17_M01_DG,TR17_M01_LG,TR06_PB,TR12_W_P,TR13_W_P,White,TR07_B01_sup,TR08_B01_sup,TR09_B01_sup,TR10_B01_sup,TR08_B05_sup,TR09_B05_sup,TR10_B05_sup,TR11_B05_sup,TR13_B05_sup,TR14_B05_sup,TR16_B05_sup,TR17_B05_sup
Bacteria,Bacillota,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasmataceae_WOFB19,BA57,BA57_EDMGGBOB_00461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasmataceae_WOFB19,MU;BA57;WU,BA57_EDMGGBOB_00150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae,MC62;BA181,BA181_IJCHHNEF_01644,0,0,0,0,0,0,0,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae,MC62;BA181,BA181_IJCHHNEF_01180,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae,MC62;BA181,BA181_IJCHHNEF_02148,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae,MC62;BA181,BA181_IJCHHNEF_00901,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae,MC62,MC62_PMLKHKDF_01850,0,0,0,0,0,0,0,0,0,26,30,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae,MA39,MA39_GCOAAEOB_00807,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae,MA39,MA39_GCOAAEOB_00081,0,0,48,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae,MC62;BA181,BA181_IJCHHNEF_02045,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
