Sample,ID,Type,Type2,Date,Date2,SamplingDay
TR06_PB,TR06_PB,PreBloom,PreBloom,24/08/21,24-Aug-21,TR06
TR07_B01,TR07_B01,Bloom,Bloom_B01,25/08/21,25-Aug-21,TR07
TR08_B01,TR08_B01,Bloom,Bloom_B01,26/08/21,26-Aug-21,TR08
TR09_B01,TR09_B01,Bloom,Bloom_B01,27/08/21,27-Aug-21,TR09
TR10_B01,TR10_B01,Bloom,Bloom_B01,28/08/21,28-Aug-21,TR10
TR08_B05,TR08_B05,Bloom,Bloom_B05,26/08/21,26-Aug-21,TR08
TR09_B05,TR09_B05,Bloom,Bloom_B05,27/08/21,27-Aug-21,TR09
TR10_B05,TR10_B05,Bloom,Bloom_B05,28/08/21,28-Aug-21,TR10
TR11_B05,TR11_B05,Bloom,Bloom_B05,29/08/21,29-Aug-21,TR11
TR12_B05,TR12_B05,Bloom,Bloom_B05,30/08/21,30-Aug-21,TR12
TR13_B05,TR13_B05,Bloom,Bloom_B05,31/08/21,31-Aug-21,TR13
TR14_B05,TR14_B05,Bloom,Bloom_B05,1/9/21,1-Sep-21,TR14
TR15_B05,TR15_B05,Bloom,Bloom_B05,10/9/21,10-Sep-21,TR15
TR16_B05,TR16_B05,Bloom,Bloom_B05,20/10/21,20-Oct-21,TR16
TR17_B05_MW,TR17_B05_MW,Bloom,Bloom_B05,21/10/21,21-Oct-21,TR17
TR12_W_P,TR12_W_P,Web,Web,30/08/21,30-Aug-21,TR12
TR13_W_P,TR13_W_P,Web,Web,31/08/21,31-Aug-21,TR13
TR12_M01,TR12_M01,Mat,Mat,30/08/21,30-Aug-21,TR12
TR13_M01,TR13_M01,Mat,Mat,31/08/21,31-Aug-21,TR13
TR14_M01,TR14_M01,Mat,Mat,1/9/21,1-Sep-21,TR14
TR16_M01,TR16_M01,Mat,Mat,20/10/21,20-Oct-21,TR16
TR17_M01,TR17_M01,Mat,Mat,21/10/21,21-Oct-21,TR17
TR17_M01_DG,TR17_M01_DG,Mat,Mat,21/10/21,21-Oct-21,TR17
TR17_M01_LG,TR17_M01_LG,Mat,Mat,21/10/21,21-Oct-21,TR17
White,White,White,White,NA,NA,White
TR07_B01_sup,TR07_B01_sup,Supernatant,Supernatant_B01,25/08/21,25-Aug-21,TR07
TR08_B01_sup,TR08_B01_sup,Supernatant,Supernatant_B01,26/08/21,26-Aug-21,TR08
TR09_B01_sup,TR09_B01_sup,Supernatant,Supernatant_B01,27/08/21,27-Aug-21,TR09
TR10_B01_sup,TR10_B01_sup,Supernatant,Supernatant_B01,28/08/21,28-Aug-21,TR10
TR08_B05_sup,TR08_B05_sup,Supernatant,Supernatant_B05,26/08/21,26-Aug-21,TR08
TR09_B05_sup,TR09_B05_sup,Supernatant,Supernatant_B05,27/08/21,27-Aug-21,TR09
TR10_B05_sup,TR10_B05_sup,Supernatant,Supernatant_B05,28/08/21,28-Aug-21,TR10
TR11_B05_sup,TR11_B05_sup,Supernatant,Supernatant_B05,29/08/21,29-Aug-21,TR11
TR13_B05_sup,TR13_B05_sup,Supernatant,Supernatant_B05,31/08/21,31-Aug-21,TR13
TR14_B05_sup,TR14_B05_sup,Supernatant,Supernatant_B05,1/9/21,1-Sep-21,TR14
TR16_B05_sup,TR16_B05_sup,Supernatant,Supernatant_B05,20/10/21,20-Oct-21,TR16
TR17_M01_sup,TR17_M01_sup,Supernatant,Supernatant_B05,21/10/21,21-Oct-21,TR17
