gene_callers_id	source	accession	function	e_value
0	prodigal	AFKMEEHG_02141	hypothetical protein	0
1	prodigal	AFKMEEHG_02142	IS3 family transposase ISDsp4	0
2	prodigal	AFKMEEHG_02143	hypothetical protein	0
3	prodigal	AFKMEEHG_02144	hypothetical protein	0
4	prodigal	AFKMEEHG_02145	hypothetical protein	0
5	prodigal	AFKMEEHG_02146	IS3 family transposase ISPpr7	0
6	prodigal	AFKMEEHG_02147	hypothetical protein	0
7	prodigal	AFKMEEHG_01086	DNA-invertase hin (hin_2)	0
8	prodigal	AFKMEEHG_01085	DNA replication and repair protein RecF (recF_2)	0
9	prodigal	AFKMEEHG_01084	hypothetical protein	0
10	prodigal	AFKMEEHG_01083	hypothetical protein	0
11	prodigal	AFKMEEHG_00485	hypothetical protein	0
12	prodigal	AFKMEEHG_00484	hypothetical protein	0
13	prodigal	AFKMEEHG_00483	hypothetical protein	0
14	prodigal	AFKMEEHG_00482	hypothetical protein	0
15	prodigal	AFKMEEHG_00481	"GTP 3',8-cyclase (moaA_1)"	0
16	prodigal	AFKMEEHG_00480	hypothetical protein	0
17	prodigal	AFKMEEHG_00479	hypothetical protein	0
18	prodigal	AFKMEEHG_00478	hypothetical protein	0
19	prodigal	AFKMEEHG_00477	hypothetical protein	0
20	prodigal	AFKMEEHG_00476	hypothetical protein	0
21	prodigal	AFKMEEHG_00475	hypothetical protein	0
22	prodigal	AFKMEEHG_00474	HTH-type transcriptional repressor NsrR (nsrR_1)	0
23	prodigal	AFKMEEHG_00473	Hydroxylamine reductase (hcp)	0
24	prodigal	AFKMEEHG_00472	hypothetical protein	0
25	prodigal	AFKMEEHG_00471	hypothetical protein	0
26	prodigal	AFKMEEHG_02117	Adaptive-response sensory-kinase SasA (sasA_5)	0
27	prodigal	AFKMEEHG_02116	Phosphate regulon transcriptional regulatory protein PhoB (phoB)	0
28	prodigal	AFKMEEHG_02115	Transcriptional regulatory protein ZraR (zraR_2)	0
29	prodigal	AFKMEEHG_01063	Sensor kinase CckA (cckA_2)	0
30	prodigal	AFKMEEHG_01062	Nucleoid occlusion factor SlmA (slmA)	0
31	prodigal	AFKMEEHG_01061	Multidrug resistance protein MdtA (mdtA_1)	0
32	prodigal	AFKMEEHG_01060	putative ABC transporter permease	0
33	prodigal	AFKMEEHG_01059	Lipoprotein-releasing system ATP-binding protein LolD (lolD_3)	0
34	prodigal	AFKMEEHG_01058	Outer membrane protein OprM (oprM_1)	0
35	prodigal	AFKMEEHG_01057	High-affinity proline transporter PutP (putP)	0
36	prodigal	AFKMEEHG_01056	hypothetical protein	0
37	prodigal	AFKMEEHG_02058	hypothetical protein	0
38	prodigal	AFKMEEHG_02057	hypothetical protein	0
39	prodigal	AFKMEEHG_02056	hypothetical protein	0
40	prodigal	AFKMEEHG_02055	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP (phoP_1)	0
