Accession,Functional_category,TR08_B05,TR09_B05,TR10_B05,TR11_B05,TR12_B05,TR13_B05,TR14_B05,TR15_B05
BB163_AFKMEEHG_00804,Adhesion/motility,0.024681,0.061289,0.072981,0.13366,0.161328,0.167194,0.101536,0.05997
BB163_AFKMEEHG_01225,Adhesion/motility,0.069957,0.111088,0.10343,0.056828,0.118715,0.091395,0.131781,0.109637
BB163_AFKMEEHG_01323,Amino acid metabolism,0.52122,0.444269,0.515462,0.352166,0.243558,0.357744,0.623161,0.536865
BB163_AFKMEEHG_00231,Amino acid metabolism,0.324691,0.431202,0.457419,0.377321,0.17774,0.30408,0.204106,0.389375
BB163_AFKMEEHG_00343,Amino acid metabolism,0.334916,0.262633,0.181288,0.215612,0.16307,0.200005,0.212961,0.203958
BB163_AFKMEEHG_01322,Amino acid metabolism,0.082309,0.12909,0.117681,0.141199,0.133026,0.153618,0.081471,0.119996
BB163_AFKMEEHG_01702,Amino acid metabolism,0.298389,0.193772,0.279969,0.174546,0.12659,0.169197,0.197862,0.210709
BB163_AFKMEEHG_01699,Amino acid metabolism,0.04969,0.073061,0.067815,0.061424,0.089008,0.072131,0.053795,0.063387
BB163_AFKMEEHG_00137,Biofilm formation/Polysaccharide export,0.071126,0.095614,0.110936,0.07895,0.122615,0.081123,0.114403,0.148132
BB163_AFKMEEHG_01201,Biofilm formation/Polysaccharide export,0.0751,0.055792,0.050347,0.072592,0.092415,0.057377,0.058197,0.063387
BB163_AFKMEEHG_00389,Carbon metabolism,0.071484,0.06468,0.105063,0.0738,0.09124,0.07583,0.066674,0.072149
BB163_AFKMEEHG_00818,Carbon metabolism,0.354206,0.461323,0.627726,0.450361,0.66206,0.549937,0.538857,0.42658
BB163_AFKMEEHG_01684,Carbon metabolism,0.628306,0.668152,0.672044,0.530414,0.561717,0.48717,0.533552,0.73279
BB163_AFKMEEHG_00403,Carbon metabolism,0.250593,0.229628,0.192134,0.284411,0.31854,0.232972,0.139001,0.168299
BB163_AFKMEEHG_01685,Carbon metabolism,0.702855,0.367441,0.468954,0.287956,0.310993,0.363896,0.393649,0.655789
BB163_AFKMEEHG_01399,Carbon metabolism,0.2944,0.142801,0.187776,0.173653,0.169392,0.207068,0.176118,0.420348
BB163_AFKMEEHG_00157,Carbon metabolism,0.348086,0.157939,0.125485,0.142269,0.156858,0.206563,0.238904,0.478739
BB163_AFKMEEHG_02241,Carbon metabolism,0.196799,0.134196,0.132345,0.163189,0.141975,0.229783,0.2075,0.318093
