gene_callers_id	source	accession	accession2	prokka function	In Proteome	Mantis annotation	GhostKoala annotation	Description	ProteinCategory1	ProteinCategory2	ProteinCategory3	TR08_B05	TR09_B05	TR10_B05	TR11_B05	TR12_B05	TR13_B05	TR14_B05	TR15_B05	TR16_B05	TR17_B05_MW
1566	prodigal	AFKMEEHG_02209	BB163_AFKMEEHG_02209	hypothetical protein	Y	Bacterial extracellular solute-binding protein	K02020	"TIGRFAM molybdenum ABC transporter, periplasmic molybdate-binding protein"	Bacterial extracellular solute-binding	ABC Transporter	Transporter	0.041701	0.196205	0.290882	0.1571	0.209676	0.065578	0.120389	0	0	0
234	prodigal	AFKMEEHG_00550	BB163_AFKMEEHG_00550	hypothetical protein	Y	NitT/TauT family transport system substrate-binding protein	0	#N/A	Transport	ABC Transporter	Transporter	0.049056	0.017097	0.084307	0.188661	0.160329	0.27693	0.051929	0.039732	0	0
232	prodigal	AFKMEEHG_00552	BB163_AFKMEEHG_00552	Sulfate/thiosulfate import ATP-binding protein CysA (cysA)	Y	NitT/TauT family transport system ATP-binding protein	0	ABC transporter	Transport	ABC Transporter	Transporter	0	0.006109	0.035438	0.14857	0.146883	0.079156	0.060721	0	0	0
713	prodigal	AFKMEEHG_01038	BB163_AFKMEEHG_01038	Cation/acetate symporter ActP (actP)	Y	Sodium solute symporter family	K14393	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	Acetate transport	ABC Transporter	Transporter	0.063592	0.072307	0.057858	0.089838	0.127098	0.083079	0.088122	0.088073	0	0
1546	prodigal	AFKMEEHG_02189	BB163_AFKMEEHG_02189	Monocarboxylate 2-oxoacid-binding periplasmic protein	Y	Alr3027 protein	K11688	PFAM TRAP dicarboxylate transporter- DctP subunit	#N/A	ABC Transporter	Transporter	0.06888	0.084879	0.071622	0.135538	0.107611	0.082132	0.076701	0.050209	0	0
1669	prodigal	AFKMEEHG_00388	BB163_AFKMEEHG_00388	Oligopeptide-binding protein AppA (appA_2)	Y	"Bacterial extracellular solute-binding proteins, family 5 Middle"	K02035	"PFAM extracellular solute-binding protein, family 5"	#N/A	ABC Transporter	Transporter	0.040107	0.060482	0.058946	0.061019	0.102381	0.087329	0.08016	0.062968	0	0
1787	prodigal	AFKMEEHG_00270	BB163_AFKMEEHG_00270	Oligopeptide-binding protein AppA (appA_1)	Y	"Bacterial extracellular solute-binding proteins, family 5 Middle"	K02035	"PFAM extracellular solute-binding protein, family 5"	#N/A	ABC Transporter	Transporter	0.058526	0.073942	0.068041	0.062012	0.100544	0.094397	0.109827	0.061623	0	0
1116	prodigal	AFKMEEHG_00995	BB163_AFKMEEHG_00995	GTPase Der (der_1)	Y	Ferrous iron transport protein B C terminus	K04759	transporter of a GTP-driven Fe(2 ) uptake system	#N/A	ABC Transporter	Transporter	0.042013	0.057655	0.054949	0.083466	0.093081	0.104821	0.088694	0.042109	0	0
119	prodigal	AFKMEEHG_01722	BB163_AFKMEEHG_01722	Membrane lipoprotein TmpC (tmpC)	Y	ABC transporter substrate-binding protein PnrA-like	K07335	PFAM basic membrane lipoprotein	#N/A	ABC Transporter	Transporter	0.056483	0.070868	0.041112	0.067827	0.089461	0.077892	0.092947	0.024704	0	0
489	prodigal	AFKMEEHG_01323	BB163_AFKMEEHG_01323	Ketol-acid reductoisomerase (NAD( )) (ilvC)	Y	"Acetohydroxy acid isomeroreductase, NADPH-binding domain"	K00053	"Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate"	Amino Acid Metabolism	Amino acid metabolism	Amino acid metabolism	0.52122	0.444269	0.515462	0.352166	0.243558	0.357744	0.623161	0.536865	0.808833	0.482852
1825	prodigal	AFKMEEHG_00231	BB163_AFKMEEHG_00231	Ribose-phosphate pyrophosphokinase (prs)	Y	N-terminal domain of ribose phosphate pyrophosphokinase	K00948	Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)	DNA synthesis	Amino acid metabolism	Amino acid metabolism	0.324691	0.431202	0.457419	0.377321	0.17774	0.30408	0.204106	0.389375	0.24922	0
1714	prodigal	AFKMEEHG_00343	BB163_AFKMEEHG_00343	Serine hydroxymethyltransferase (glyA)	Y	Serine hydroxymethyltransferase	K00600	"Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism"	Amino Acid Metabolism	Amino acid metabolism	Amino acid metabolism	0.334916	0.262633	0.181288	0.215612	0.16307	0.200005	0.212961	0.203958	0.403499	0.361318
488	prodigal	AFKMEEHG_01322	BB163_AFKMEEHG_01322	Acetolactate synthase small subunit (ilvH)	Y	Small subunit of acetolactate synthase	K01653	PFAM amino acid-binding ACT domain protein	Amino Acid Metabolism	Amino acid metabolism	Amino acid metabolism	0.082309	0.12909	0.117681	0.141199	0.133026	0.153618	0.081471	0.119996	0	0
99	prodigal	AFKMEEHG_01702	BB163_AFKMEEHG_01702	Argininosuccinate synthase (argG)	Y	ATP binding	K01940	Belongs to the argininosuccinate synthase family. Type 1 subfamily	Amino Acid Metabolism	Amino acid metabolism	Amino acid metabolism	0.298389	0.193772	0.279969	0.174546	0.12659	0.169197	0.197862	0.210709	0	0
96	prodigal	AFKMEEHG_01699	BB163_AFKMEEHG_01699	Acetylglutamate kinase (argB)	Y	Amino acid kinase family	K00930	Belongs to the acetylglutamate kinase family. ArgB subfamily	#N/A	Amino acid metabolism	Amino acid metabolism	0.04969	0.073061	0.067815	0.061424	0.089008	0.072131	0.053795	0.063387	0	0
1928	prodigal	AFKMEEHG_00137	BB163_AFKMEEHG_00137	hypothetical protein	Y	polysaccharide biosynthesis/export protein	0	polysaccharide export	hypothetical protein	Biofilm formation/Polysaccharide export	Biofilm formation/Polysaccharide export	0.071126	0.095614	0.110936	0.07895	0.122615	0.081123	0.114403	0.148132	0	0
781	prodigal	AFKMEEHG_01201	BB163_AFKMEEHG_01201	Alginate biosynthesis protein AlgA (algA)	Y	Nucleotidyl transferase	K16011	"Cupin 2, conserved barrel domain protein"	#N/A	Biofilm formation/Polysaccharide export	Biofilm formation/Polysaccharide export	0.0751	0.055792	0.050347	0.072592	0.092415	0.057377	0.058197	0.063387	0.188101	0
1668	prodigal	AFKMEEHG_00389	BB163_AFKMEEHG_00389	HPr kinase/phosphorylase (hprK)	Y	ATP binding	K06023	"Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr)"	#N/A	Carbohydrate metabolism	Carbon metabolism	0.071484	0.06468	0.105063	0.0738	0.09124	0.07583	0.066674	0.072149	0	0
183	prodigal	AFKMEEHG_00818	BB163_AFKMEEHG_00818	Oxaloacetate decarboxylase alpha chain (oadA)	Y	COG5016	K01960	PFAM biotin lipoyl attachment domain-containing protein	Carbon fixation	Carbon metabolism	Carbon metabolism	0.354206	0.461323	0.627726	0.450361	0.66206	0.549937	0.538857	0.42658	0.73288	0.787518
81	prodigal	AFKMEEHG_01684	BB163_AFKMEEHG_01684	hypothetical protein	Y	COG0372 - Citrate synthase	K01902	ATP-citrate lyase succinyl-CoA ligase	Carbon fixation	Carbon metabolism	Carbon metabolism	0.628306	0.668152	0.672044	0.530414	0.561717	0.48717	0.533552	0.73279	1.750261	1.828505
