gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	semibin163_refined_aligned	193	601	r	0	1	prodigal	v4.6
1	semibin163_refined_aligned	748	1588	r	0	1	prodigal	v4.6
2	semibin163_refined_aligned	1611	1902	r	0	1	prodigal	v4.6
3	semibin163_refined_aligned	1903	2701	f	0	1	prodigal	v4.6
4	semibin163_refined_aligned	2736	3837	f	0	1	prodigal	v4.6
5	semibin163_refined_aligned	3886	4870	r	0	1	prodigal	v4.6
6	semibin163_refined_aligned	4899	5385	r	0	1	prodigal	v4.6
7	semibin163_refined_aligned	6738	7155	f	0	1	prodigal	v4.6
8	semibin163_refined_aligned	7954	9202	f	0	1	prodigal	v4.6
9	semibin163_refined_aligned	9179	9761	f	0	1	prodigal	v4.6
10	semibin163_refined_aligned	9941	13949	f	0	1	prodigal	v4.6
11	semibin163_refined_aligned	14794	15289	f	0	1	prodigal	v4.6
12	semibin163_refined_aligned	15997	16549	f	0	1	prodigal	v4.6
13	semibin163_refined_aligned	16585	16807	f	0	1	prodigal	v4.6
14	semibin163_refined_aligned	18506	18854	f	0	1	prodigal	v4.6
15	semibin163_refined_aligned	18879	19941	f	0	1	prodigal	v4.6
16	semibin163_refined_aligned	20023	21151	f	0	1	prodigal	v4.6
17	semibin163_refined_aligned	21271	21859	r	0	1	prodigal	v4.6
18	semibin163_refined_aligned	21855	22332	r	0	1	prodigal	v4.6
19	semibin163_refined_aligned	22328	23144	r	0	1	prodigal	v4.6
20	semibin163_refined_aligned	23140	24901	r	0	1	prodigal	v4.6
21	semibin163_refined_aligned	24956	25817	r	0	1	prodigal	v4.6
22	semibin163_refined_aligned	26142	26610	f	0	1	prodigal	v4.6
23	semibin163_refined_aligned	26735	28364	f	0	1	prodigal	v4.6
24	semibin163_refined_aligned	28730	29225	r	0	1	prodigal	v4.6
25	semibin163_refined_aligned	30533	31043	r	0	1	prodigal	v4.6
26	semibin163_refined_aligned	31231	33574	f	0	1	prodigal	v4.6
27	semibin163_refined_aligned	33633	34017	r	0	1	prodigal	v4.6
28	semibin163_refined_aligned	34579	34963	f	0	1	prodigal	v4.6
29	semibin163_refined_aligned	35249	36014	f	0	1	prodigal	v4.6
30	semibin163_refined_aligned	36111	36726	f	0	1	prodigal	v4.6
31	semibin163_refined_aligned	36703	37912	f	0	1	prodigal	v4.6
32	semibin163_refined_aligned	37908	39111	f	0	1	prodigal	v4.6
33	semibin163_refined_aligned	39115	39841	f	0	1	prodigal	v4.6
34	semibin163_refined_aligned	39840	41280	f	0	1	prodigal	v4.6
35	semibin163_refined_aligned	41242	42616	r	0	1	prodigal	v4.6
36	semibin163_refined_aligned	42638	42965	r	0	1	prodigal	v4.6
37	semibin163_refined_aligned	43004	43166	f	0	1	prodigal	v4.6
38	semibin163_refined_aligned	43185	43626	f	0	1	prodigal	v4.6
39	semibin163_refined_aligned	43679	44243	f	0	1	prodigal	v4.6
40	semibin163_refined_aligned	44273	44654	r	0	1	prodigal	v4.6
41	semibin163_refined_aligned	44687	45176	r	0	1	prodigal	v4.6
42	semibin163_refined_aligned	45264	46083	f	0	1	prodigal	v4.6
43	semibin163_refined_aligned	46130	47255	r	0	1	prodigal	v4.6
44	semibin163_refined_aligned	47401	48619	f	0	1	prodigal	v4.6
45	semibin163_refined_aligned	48626	49454	f	0	1	prodigal	v4.6
46	semibin163_refined_aligned	49424	50126	r	0	1	prodigal	v4.6
47	semibin163_refined_aligned	50139	50718	r	0	1	prodigal	v4.6
48	semibin163_refined_aligned	50731	51598	r	0	1	prodigal	v4.6
49	semibin163_refined_aligned	51699	52146	r	0	1	prodigal	v4.6
50	semibin163_refined_aligned	52271	53909	r	0	1	prodigal	v4.6
51	semibin163_refined_aligned	54472	54919	r	0	1	prodigal	v4.6
52	semibin163_refined_aligned	55044	56601	r	0	1	prodigal	v4.6
53	semibin163_refined_aligned	57149	58052	r	0	1	prodigal	v4.6
54	semibin163_refined_aligned	58072	58894	r	0	1	prodigal	v4.6
55	semibin163_refined_aligned	59057	60047	r	0	1	prodigal	v4.6
56	semibin163_refined_aligned	60118	60613	f	0	1	prodigal	v4.6
57	semibin163_refined_aligned	60613	62419	r	0	1	prodigal	v4.6
58	semibin163_refined_aligned	62425	63667	r	0	1	prodigal	v4.6
59	semibin163_refined_aligned	63688	64834	r	0	1	prodigal	v4.6
60	semibin163_refined_aligned	64830	65547	r	0	1	prodigal	v4.6
61	semibin163_refined_aligned	65622	66360	r	0	1	prodigal	v4.6
62	semibin163_refined_aligned	66372	67563	r	0	1	prodigal	v4.6
63	semibin163_refined_aligned	67559	68783	r	0	1	prodigal	v4.6
64	semibin163_refined_aligned	68779	69889	r	0	1	prodigal	v4.6
65	semibin163_refined_aligned	70153	70531	r	0	1	prodigal	v4.6
66	semibin163_refined_aligned	70536	71970	r	0	1	prodigal	v4.6
67	semibin163_refined_aligned	71962	72499	r	0	1	prodigal	v4.6
68	semibin163_refined_aligned	72506	74762	r	0	1	prodigal	v4.6
69	semibin163_refined_aligned	74782	75889	r	0	1	prodigal	v4.6
70	semibin163_refined_aligned	75878	76403	r	0	1	prodigal	v4.6
71	semibin163_refined_aligned	76408	77383	r	0	1	prodigal	v4.6
72	semibin163_refined_aligned	77405	77834	r	0	1	prodigal	v4.6
73	semibin163_refined_aligned	77852	78173	r	0	1	prodigal	v4.6
74	semibin163_refined_aligned	78169	79453	r	0	1	prodigal	v4.6
75	semibin163_refined_aligned	79471	79837	r	0	1	prodigal	v4.6
76	semibin163_refined_aligned	79840	80560	r	0	1	prodigal	v4.6
77	semibin163_refined_aligned	80576	81095	r	0	1	prodigal	v4.6
78	semibin163_refined_aligned	81295	82612	r	0	1	prodigal	v4.6
79	semibin163_refined_aligned	82608	84252	r	0	1	prodigal	v4.6
80	semibin163_refined_aligned	84478	84733	r	0	1	prodigal	v4.6
81	semibin163_refined_aligned	84823	86656	r	0	1	prodigal	v4.6
82	semibin163_refined_aligned	86717	87917	r	0	1	prodigal	v4.6
83	semibin163_refined_aligned	88070	88922	f	0	1	prodigal	v4.6
84	semibin163_refined_aligned	88877	89687	r	0	1	prodigal	v4.6
85	semibin163_refined_aligned	89683	90355	r	0	1	prodigal	v4.6
86	semibin163_refined_aligned	90351	91008	r	0	1	prodigal	v4.6
87	semibin163_refined_aligned	91047	91536	r	0	1	prodigal	v4.6
88	semibin163_refined_aligned	91646	92105	f	0	1	prodigal	v4.6
89	semibin163_refined_aligned	92171	92432	f	0	1	prodigal	v4.6
90	semibin163_refined_aligned	92492	93746	r	0	1	prodigal	v4.6
91	semibin163_refined_aligned	93742	95005	r	0	1	prodigal	v4.6
92	semibin163_refined_aligned	95001	96312	r	0	1	prodigal	v4.6
93	semibin163_refined_aligned	96311	97190	r	0	1	prodigal	v4.6
94	semibin163_refined_aligned	97365	98385	f	0	1	prodigal	v4.6
95	semibin163_refined_aligned	98411	99695	f	0	1	prodigal	v4.6
96	semibin163_refined_aligned	99706	100612	f	0	1	prodigal	v4.6
97	semibin163_refined_aligned	100640	101672	f	0	1	prodigal	v4.6
98	semibin163_refined_aligned	101676	102126	f	0	1	prodigal	v4.6
99	semibin163_refined_aligned	102137	103343	f	0	1	prodigal	v4.6
100	semibin163_refined_aligned	103424	104453	r	0	1	prodigal	v4.6
101	semibin163_refined_aligned	104491	106174	r	0	1	prodigal	v4.6
102	semibin163_refined_aligned	106245	106815	f	0	1	prodigal	v4.6
103	semibin163_refined_aligned	106998	108402	f	0	1	prodigal	v4.6
104	semibin163_refined_aligned	108395	110444	r	0	1	prodigal	v4.6
105	semibin163_refined_aligned	110606	111581	f	0	1	prodigal	v4.6
106	semibin163_refined_aligned	111684	112908	r	0	1	prodigal	v4.6
107	semibin163_refined_aligned	112934	113627	r	0	1	prodigal	v4.6
108	semibin163_refined_aligned	113702	114131	r	0	1	prodigal	v4.6
109	semibin163_refined_aligned	114127	116260	r	0	1	prodigal	v4.6
110	semibin163_refined_aligned	116283	116868	r	0	1	prodigal	v4.6
111	semibin163_refined_aligned	116962	117667	f	0	1	prodigal	v4.6
112	semibin163_refined_aligned	117693	119016	f	0	1	prodigal	v4.6
113	semibin163_refined_aligned	119113	119308	f	0	1	prodigal	v4.6
114	semibin163_refined_aligned	119327	120086	f	0	1	prodigal	v4.6
115	semibin163_refined_aligned	120100	120799	r	0	1	prodigal	v4.6
116	semibin163_refined_aligned	120791	122807	r	0	1	prodigal	v4.6
117	semibin163_refined_aligned	122751	123750	r	0	1	prodigal	v4.6
118	semibin163_refined_aligned	123771	124248	r	0	1	prodigal	v4.6
119	semibin163_refined_aligned	124285	125281	r	0	1	prodigal	v4.6
120	semibin163_refined_aligned	125565	127110	f	0	1	prodigal	v4.6
121	semibin163_refined_aligned	127113	127854	f	0	1	prodigal	v4.6
122	semibin163_refined_aligned	128144	129968	f	0	1	prodigal	v4.6
123	semibin163_refined_aligned	129989	130877	r	0	1	prodigal	v4.6
124	semibin163_refined_aligned	130944	131313	r	0	1	prodigal	v4.6
125	semibin163_refined_aligned	131330	132041	r	0	1	prodigal	v4.6
126	semibin163_refined_aligned	132055	132577	r	0	1	prodigal	v4.6
127	semibin163_refined_aligned	132580	132985	r	0	1	prodigal	v4.6
128	semibin163_refined_aligned	133071	134421	r	0	1	prodigal	v4.6
129	semibin163_refined_aligned	134607	135585	f	0	1	prodigal	v4.6
130	semibin163_refined_aligned	135593	136211	r	0	1	prodigal	v4.6
131	semibin163_refined_aligned	136229	136886	r	0	1	prodigal	v4.6
132	semibin163_refined_aligned	136953	138579	r	0	1	prodigal	v4.6
133	semibin163_refined_aligned	139133	139604	r	0	1	prodigal	v4.6
134	semibin163_refined_aligned	139971	140742	f	0	1	prodigal	v4.6
135	semibin163_refined_aligned	140746	141394	f	0	1	prodigal	v4.6
136	semibin163_refined_aligned	141390	142035	f	0	1	prodigal	v4.6
137	semibin163_refined_aligned	142024	142843	f	0	1	prodigal	v4.6
138	semibin163_refined_aligned	142861	144124	f	0	1	prodigal	v4.6
139	semibin163_refined_aligned	144107	144944	r	0	1	prodigal	v4.6
140	semibin163_refined_aligned	144925	145615	r	0	1	prodigal	v4.6
141	semibin163_refined_aligned	145627	147151	r	0	1	prodigal	v4.6
142	semibin163_refined_aligned	147165	148224	r	0	1	prodigal	v4.6
143	semibin163_refined_aligned	148444	151504	f	0	1	prodigal	v4.6
144	semibin163_refined_aligned	151562	153833	f	0	1	prodigal	v4.6
145	semibin163_refined_aligned	153847	155422	f	0	1	prodigal	v4.6
146	semibin163_refined_aligned	155396	156614	r	0	1	prodigal	v4.6
147	semibin163_refined_aligned	156636	160296	r	0	1	prodigal	v4.6
148	semibin163_refined_aligned	160440	161640	r	0	1	prodigal	v4.6
149	semibin163_refined_aligned	161691	162591	r	0	1	prodigal	v4.6
150	semibin163_refined_aligned	162565	163765	r	0	1	prodigal	v4.6
151	semibin163_refined_aligned	163761	165057	r	0	1	prodigal	v4.6
152	semibin163_refined_aligned	165061	165592	r	0	1	prodigal	v4.6
153	semibin163_refined_aligned	165564	166311	r	0	1	prodigal	v4.6
154	semibin163_refined_aligned	166448	166841	r	0	1	prodigal	v4.6
155	semibin163_refined_aligned	167035	167341	f	0	1	prodigal	v4.6
156	semibin163_refined_aligned	167330	168677	r	0	1	prodigal	v4.6
157	semibin163_refined_aligned	168695	169859	r	0	1	prodigal	v4.6
158	semibin163_refined_aligned	170059	170875	r	0	1	prodigal	v4.6
159	semibin163_refined_aligned	171077	172211	r	0	1	prodigal	v4.6
160	semibin163_refined_aligned	172562	173600	r	0	1	prodigal	v4.6
161	semibin163_refined_aligned	173768	173990	f	0	1	prodigal	v4.6
162	semibin163_refined_aligned	174006	174669	r	0	1	prodigal	v4.6
163	semibin163_refined_aligned	174656	175442	r	0	1	prodigal	v4.6
164	semibin163_refined_aligned	175665	176322	f	0	1	prodigal	v4.6
165	semibin163_refined_aligned	176334	177003	f	0	1	prodigal	v4.6
166	semibin163_refined_aligned	176999	177725	r	0	1	prodigal	v4.6
167	semibin163_refined_aligned	177856	179026	f	0	1	prodigal	v4.6
168	semibin163_refined_aligned	179051	180131	r	0	1	prodigal	v4.6
169	semibin163_refined_aligned	180134	182864	r	0	1	prodigal	v4.6
170	semibin163_refined_aligned	182961	183813	r	0	1	prodigal	v4.6
171	semibin163_refined_aligned	183809	184880	r	0	1	prodigal	v4.6
172	semibin163_refined_aligned	184904	185609	r	0	1	prodigal	v4.6
173	semibin163_refined_aligned	185840	186581	f	0	1	prodigal	v4.6
174	semibin163_refined_aligned	186543	186921	r	0	1	prodigal	v4.6
175	semibin163_refined_aligned	187090	188026	r	0	1	prodigal	v4.6
176	semibin163_refined_aligned	188135	188462	r	0	1	prodigal	v4.6
177	semibin163_refined_aligned	188572	192097	r	0	1	prodigal	v4.6
178	semibin163_refined_aligned	192247	193354	r	0	1	prodigal	v4.6
179	semibin163_refined_aligned	193313	195713	r	0	1	prodigal	v4.6
180	semibin163_refined_aligned	195862	196030	f	0	1	prodigal	v4.6
181	semibin163_refined_aligned	195974	197171	f	0	1	prodigal	v4.6
182	semibin163_refined_aligned	197252	198815	r	0	1	prodigal	v4.6
183	semibin163_refined_aligned	198836	200660	r	0	1	prodigal	v4.6
184	semibin163_refined_aligned	200704	200980	r	0	1	prodigal	v4.6
185	semibin163_refined_aligned	201027	201489	r	0	1	prodigal	v4.6
186	semibin163_refined_aligned	201655	203386	f	0	1	prodigal	v4.6
187	semibin163_refined_aligned	203188	204064	r	0	1	prodigal	v4.6
188	semibin163_refined_aligned	204148	206029	r	0	1	prodigal	v4.6
189	semibin163_refined_aligned	206126	206639	r	0	1	prodigal	v4.6
190	semibin163_refined_aligned	207063	207912	f	0	1	prodigal	v4.6
191	semibin163_refined_aligned	208046	208760	r	0	1	prodigal	v4.6
192	semibin163_refined_aligned	208756	210919	r	0	1	prodigal	v4.6
193	semibin163_refined_aligned	211279	212158	r	0	1	prodigal	v4.6
194	semibin163_refined_aligned	212165	213563	r	0	1	prodigal	v4.6
195	semibin163_refined_aligned	213691	214858	r	0	1	prodigal	v4.6
196	semibin163_refined_aligned	214931	217295	r	0	1	prodigal	v4.6
197	semibin163_refined_aligned	217302	218010	r	0	1	prodigal	v4.6
198	semibin163_refined_aligned	218107	219640	f	0	1	prodigal	v4.6
199	semibin163_refined_aligned	220030	221680	r	0	1	prodigal	v4.6
200	semibin163_refined_aligned	221768	221975	r	0	1	prodigal	v4.6
201	semibin163_refined_aligned	221937	222489	r	0	1	prodigal	v4.6
202	semibin163_refined_aligned	222817	224467	r	0	1	prodigal	v4.6
203	semibin163_refined_aligned	224552	224762	r	0	1	prodigal	v4.6
204	semibin163_refined_aligned	224724	225276	r	0	1	prodigal	v4.6
205	semibin163_refined_aligned	225573	226446	f	0	1	prodigal	v4.6
206	semibin163_refined_aligned	226533	228186	f	0	1	prodigal	v4.6
207	semibin163_refined_aligned	228563	228860	r	0	1	prodigal	v4.6
208	semibin163_refined_aligned	229420	230803	r	0	1	prodigal	v4.6
209	semibin163_refined_aligned	230837	231452	r	0	1	prodigal	v4.6
210	semibin163_refined_aligned	231459	231768	r	0	1	prodigal	v4.6
211	semibin163_refined_aligned	231816	232800	r	0	1	prodigal	v4.6
212	semibin163_refined_aligned	232873	233674	f	0	1	prodigal	v4.6
213	semibin163_refined_aligned	233642	234065	r	0	1	prodigal	v4.6
214	semibin163_refined_aligned	234337	234799	r	0	1	prodigal	v4.6
215	semibin163_refined_aligned	234795	235551	r	0	1	prodigal	v4.6
216	semibin163_refined_aligned	235555	236896	r	0	1	prodigal	v4.6
217	semibin163_refined_aligned	237055	237853	f	0	1	prodigal	v4.6
218	semibin163_refined_aligned	237928	238360	f	0	1	prodigal	v4.6
219	semibin163_refined_aligned	238494	240048	f	0	1	prodigal	v4.6
220	semibin163_refined_aligned	240388	241234	f	0	1	prodigal	v4.6
221	semibin163_refined_aligned	241327	241687	f	0	1	prodigal	v4.6
222	semibin163_refined_aligned	241754	242609	f	0	1	prodigal	v4.6
223	semibin163_refined_aligned	242656	242923	f	0	1	prodigal	v4.6
224	semibin163_refined_aligned	243050	243467	f	0	1	prodigal	v4.6
225	semibin163_refined_aligned	243626	244913	f	0	1	prodigal	v4.6
226	semibin163_refined_aligned	245000	246176	f	0	1	prodigal	v4.6
227	semibin163_refined_aligned	246165	248187	r	0	1	prodigal	v4.6
228	semibin163_refined_aligned	248374	249397	f	0	1	prodigal	v4.6
229	semibin163_refined_aligned	249470	250355	f	0	1	prodigal	v4.6
230	semibin163_refined_aligned	250440	250668	f	0	1	prodigal	v4.6
231	semibin163_refined_aligned	250715	251303	r	0	1	prodigal	v4.6
232	semibin163_refined_aligned	251398	252121	r	0	1	prodigal	v4.6
233	semibin163_refined_aligned	252110	252869	r	0	1	prodigal	v4.6
234	semibin163_refined_aligned	252893	253925	r	0	1	prodigal	v4.6
235	semibin163_refined_aligned	254025	256128	r	0	1	prodigal	v4.6
236	semibin163_refined_aligned	256375	259015	r	0	1	prodigal	v4.6
237	semibin163_refined_aligned	259172	259622	f	0	1	prodigal	v4.6
238	semibin163_refined_aligned	259704	264675	r	0	1	prodigal	v4.6
239	semibin163_refined_aligned	264981	265344	f	0	1	prodigal	v4.6
240	semibin163_refined_aligned	265368	265692	f	0	1	prodigal	v4.6
241	semibin163_refined_aligned	265784	266039	f	0	1	prodigal	v4.6
242	semibin163_refined_aligned	266026	266482	f	0	1	prodigal	v4.6
243	semibin163_refined_aligned	266494	267292	r	0	1	prodigal	v4.6
244	semibin163_refined_aligned	267328	268399	r	0	1	prodigal	v4.6
245	semibin163_refined_aligned	268486	268927	r	0	1	prodigal	v4.6
246	semibin163_refined_aligned	269090	269426	f	0	1	prodigal	v4.6
247	semibin163_refined_aligned	269478	269715	f	0	1	prodigal	v4.6
248	semibin163_refined_aligned	269711	270773	f	0	1	prodigal	v4.6
249	semibin163_refined_aligned	270809	271235	f	0	1	prodigal	v4.6
250	semibin163_refined_aligned	271231	272272	f	0	1	prodigal	v4.6
251	semibin163_refined_aligned	272420	273347	f	0	1	prodigal	v4.6
252	semibin163_refined_aligned	273358	276475	r	0	1	prodigal	v4.6
253	semibin163_refined_aligned	276496	276673	r	0	1	prodigal	v4.6
254	semibin163_refined_aligned	276784	277048	f	0	1	prodigal	v4.6
255	semibin163_refined_aligned	277062	278277	f	0	1	prodigal	v4.6
256	semibin163_refined_aligned	278288	279569	f	0	1	prodigal	v4.6
257	semibin163_refined_aligned	279640	280186	f	0	1	prodigal	v4.6
258	semibin163_refined_aligned	280182	280674	f	0	1	prodigal	v4.6
259	semibin163_refined_aligned	280686	281163	f	0	1	prodigal	v4.6
260	semibin163_refined_aligned	281223	281379	r	0	1	prodigal	v4.6
261	semibin163_refined_aligned	281641	281953	r	0	1	prodigal	v4.6
262	semibin163_refined_aligned	282012	282309	r	0	1	prodigal	v4.6
263	semibin163_refined_aligned	282578	282692	r	0	1	prodigal	v4.6
264	semibin163_refined_aligned	283041	283287	f	0	1	prodigal	v4.6
265	semibin163_refined_aligned	283725	284283	r	0	1	prodigal	v4.6
266	semibin163_refined_aligned	284362	284911	r	0	1	prodigal	v4.6
267	semibin163_refined_aligned	285343	285457	f	0	1	prodigal	v4.6
268	semibin163_refined_aligned	285555	285786	f	0	1	prodigal	v4.6
269	semibin163_refined_aligned	285825	286617	f	0	1	prodigal	v4.6
270	semibin163_refined_aligned	286622	288041	f	0	1	prodigal	v4.6
271	semibin163_refined_aligned	288043	288484	f	0	1	prodigal	v4.6
272	semibin163_refined_aligned	288486	289572	f	0	1	prodigal	v4.6
273	semibin163_refined_aligned	289578	290727	f	0	1	prodigal	v4.6
274	semibin163_refined_aligned	290702	292118	f	0	1	prodigal	v4.6
275	semibin163_refined_aligned	292133	293102	f	0	1	prodigal	v4.6
276	semibin163_refined_aligned	293119	294067	f	0	1	prodigal	v4.6
277	semibin163_refined_aligned	294070	294793	f	0	1	prodigal	v4.6
278	semibin163_refined_aligned	294880	296329	f	0	1	prodigal	v4.6
279	semibin163_refined_aligned	296328	296949	f	0	1	prodigal	v4.6
280	semibin163_refined_aligned	296953	300322	f	0	1	prodigal	v4.6
281	semibin163_refined_aligned	300318	301554	f	0	1	prodigal	v4.6
282	semibin163_refined_aligned	301498	302299	r	0	1	prodigal	v4.6
283	semibin163_refined_aligned	302295	303846	r	0	1	prodigal	v4.6
284	semibin163_refined_aligned	303859	305479	r	0	1	prodigal	v4.6
285	semibin163_refined_aligned	305481	306012	r	0	1	prodigal	v4.6
286	semibin163_refined_aligned	306033	307383	r	0	1	prodigal	v4.6
287	semibin163_refined_aligned	307446	308463	f	0	1	prodigal	v4.6
288	semibin163_refined_aligned	308675	310550	r	0	1	prodigal	v4.6
289	semibin163_refined_aligned	310569	311088	r	0	1	prodigal	v4.6
290	semibin163_refined_aligned	311133	312888	r	0	1	prodigal	v4.6
291	semibin163_refined_aligned	312980	313322	r	0	1	prodigal	v4.6
292	semibin163_refined_aligned	313299	314133	r	0	1	prodigal	v4.6
293	semibin163_refined_aligned	314182	314488	r	0	1	prodigal	v4.6
294	semibin163_refined_aligned	314521	314986	r	0	1	prodigal	v4.6
295	semibin163_refined_aligned	315034	315385	r	0	1	prodigal	v4.6
296	semibin163_refined_aligned	315444	316029	r	0	1	prodigal	v4.6
297	semibin163_refined_aligned	316366	317275	f	0	1	prodigal	v4.6
298	semibin163_refined_aligned	317252	317855	r	0	1	prodigal	v4.6
299	semibin163_refined_aligned	317885	319214	r	0	1	prodigal	v4.6
300	semibin163_refined_aligned	319547	319814	f	0	1	prodigal	v4.6
301	semibin163_refined_aligned	319859	320057	f	0	1	prodigal	v4.6
302	semibin163_refined_aligned	320976	322746	r	0	1	prodigal	v4.6
303	semibin163_refined_aligned	323094	323283	f	0	1	prodigal	v4.6
304	semibin163_refined_aligned	323233	323548	r	0	1	prodigal	v4.6
305	semibin163_refined_aligned	323587	323899	r	0	1	prodigal	v4.6
306	semibin163_refined_aligned	323882	324188	r	0	1	prodigal	v4.6
307	semibin163_refined_aligned	324337	324430	r	0	1	prodigal	v4.6
308	semibin163_refined_aligned	324653	324767	f	0	1	prodigal	v4.6
309	semibin163_refined_aligned	324968	325505	r	0	1	prodigal	v4.6
310	semibin163_refined_aligned	325603	326794	r	0	1	prodigal	v4.6
311	semibin163_refined_aligned	326923	327124	r	0	1	prodigal	v4.6
312	semibin163_refined_aligned	327068	327578	r	0	1	prodigal	v4.6
313	semibin163_refined_aligned	327754	330739	r	0	1	prodigal	v4.6
314	semibin163_refined_aligned	330735	331686	r	0	1	prodigal	v4.6
315	semibin163_refined_aligned	331685	333164	r	0	1	prodigal	v4.6
316	semibin163_refined_aligned	333165	333261	r	0	1	prodigal	v4.6
317	semibin163_refined_aligned	333253	334396	r	0	1	prodigal	v4.6
318	semibin163_refined_aligned	334428	337200	r	0	1	prodigal	v4.6
319	semibin163_refined_aligned	337196	337562	r	0	1	prodigal	v4.6
320	semibin163_refined_aligned	338960	339311	r	0	1	prodigal	v4.6
321	semibin163_refined_aligned	339370	341515	r	0	1	prodigal	v4.6
322	semibin163_refined_aligned	341622	343146	r	0	1	prodigal	v4.6
323	semibin163_refined_aligned	343142	344666	r	0	1	prodigal	v4.6
324	semibin163_refined_aligned	344888	345203	r	0	1	prodigal	v4.6
325	semibin163_refined_aligned	345242	346160	r	0	1	prodigal	v4.6
326	semibin163_refined_aligned	346238	346655	r	0	1	prodigal	v4.6
327	semibin163_refined_aligned	346651	346969	r	0	1	prodigal	v4.6
328	semibin163_refined_aligned	346976	347165	r	0	1	prodigal	v4.6
329	semibin163_refined_aligned	347189	347495	r	0	1	prodigal	v4.6
330	semibin163_refined_aligned	348028	348775	r	0	1	prodigal	v4.6
331	semibin163_refined_aligned	348853	349582	r	0	1	prodigal	v4.6
332	semibin163_refined_aligned	351032	351284	f	0	1	prodigal	v4.6
333	semibin163_refined_aligned	351320	351518	f	0	1	prodigal	v4.6
334	semibin163_refined_aligned	351572	352553	r	0	1	prodigal	v4.6
335	semibin163_refined_aligned	352650	355044	f	0	1	prodigal	v4.6
336	semibin163_refined_aligned	355046	355463	f	0	1	prodigal	v4.6
337	semibin163_refined_aligned	355459	355825	f	0	1	prodigal	v4.6
338	semibin163_refined_aligned	355821	357339	f	0	1	prodigal	v4.6
339	semibin163_refined_aligned	357335	357809	f	0	1	prodigal	v4.6
340	semibin163_refined_aligned	357805	358078	f	0	1	prodigal	v4.6
341	semibin163_refined_aligned	358074	358410	f	0	1	prodigal	v4.6
342	semibin163_refined_aligned	358461	359736	f	0	1	prodigal	v4.6
343	semibin163_refined_aligned	359838	360621	f	0	1	prodigal	v4.6
